DrugID	Drug_Target
CHEMBL1729	3356
CHEMBL1729	3757
CHEMBL1729	3359
CHEMBL1729	1576
CHEMBL1729	3357
CHEMBL1740513	5887
CHEMBL177367	6288
CHEMBL187709	1717
CHEMBL1909072	146
CHEMBL2079699	5777
CHEMBL2104445	3067
CHEMBL2104993	3359
CHEMBL2104993	6532
CHEMBL2105722	5241
CHEMBL2107297	4985
CHEMBL2107297	4988
CHEMBL2107386	2149
CHEMBL2108780	5105
CHEMBL2108780	805
CHEMBL2108780	26330
CHEMBL2108780	847
CHEMBL2108780	127
CHEMBL2108780	91875
CHEMBL2108780	7372
CHEMBL2108780	3074
CHEMBL2108780	10606
CHEMBL2108780	8192
CHEMBL2108780	8224
CHEMBL2108780	8424
CHEMBL2108780	5209
CHEMBL2108780	2582
CHEMBL2108780	5429
CHEMBL2108780	112817
CHEMBL2108780	2224
CHEMBL2108780	11315
CHEMBL2108780	246243
CHEMBL2108780	4144
CHEMBL2108780	213
CHEMBL2108780	2053
CHEMBL2108780	10020
CHEMBL2108866	2595
CHEMBL2108986	5021
CHEMBL2108986	554
CHEMBL2108986	553
CHEMBL2108986	552
CHEMBL2142890	5009
CHEMBL2142890	162417
CHEMBL2142890	1373
CHEMBL2220442	338
CHEMBL2220442	3156
CHEMBL2220442	2152
CHEMBL2220442	1558
CHEMBL2220442	387
CHEMBL2220442	3949
CHEMBL2220442	4846
CHEMBL2220442	6403
CHEMBL2220442	1535
CHEMBL2220442	1559
CHEMBL2220442	348
CHEMBL2220442	335
CHEMBL2220442	5054
CHEMBL2220442	3383
CHEMBL2311071	7157
CHEMBL2311071	1571
CHEMBL252556	4803
CHEMBL256087	79054
CHEMBL256087	162514
CHEMBL256087	8989
CHEMBL266481	2740
CHEMBL266481	2642
CHEMBL27193	154
CHEMBL279816	653689
CHEMBL279816	1543
CHEMBL279816	1544
CHEMBL279816	1571
CHEMBL279816	2949
CHEMBL279816	2947
CHEMBL279816	4258
CHEMBL279816	2940
CHEMBL279816	221357
CHEMBL279816	2944
CHEMBL279816	4257
CHEMBL279816	373156
CHEMBL279816	119391
CHEMBL279816	4259
CHEMBL279816	9446
CHEMBL279816	2948
CHEMBL279816	2941
CHEMBL279816	2950
CHEMBL279816	2939
CHEMBL279816	2938
CHEMBL279816	2946
CHEMBL282042	1577
CHEMBL282042	5243
CHEMBL282042	1576
CHEMBL306043	1401
CHEMBL316561	2520
CHEMBL316561	885
CHEMBL316561	5539
CHEMBL325109	1815
CHEMBL325109	1813
CHEMBL33986	4985
CHEMBL33986	4986
CHEMBL33986	4988
CHEMBL344159	552
CHEMBL344159	554
CHEMBL3544971	6530
CHEMBL3544971	6531
CHEMBL3544971	134864
CHEMBL3544971	4128
CHEMBL360055	590
CHEMBL364713	57413
CHEMBL364713	1268
CHEMBL364713	6001
CHEMBL364713	339403
CHEMBL364713	64407
CHEMBL364713	5996
CHEMBL364713	183
CHEMBL364713	6000
CHEMBL364713	2913
CHEMBL364713	23566
CHEMBL364713	10287
CHEMBL364713	50838
CHEMBL364713	2912
CHEMBL364713	100462981
CHEMBL364713	9628
CHEMBL364713	5726
CHEMBL364713	259293
CHEMBL364713	106707243
CHEMBL364713	259295
CHEMBL364713	2832
CHEMBL364713	2773
CHEMBL364713	3351
CHEMBL364713	186
CHEMBL364713	10874
CHEMBL364713	109
CHEMBL364713	10850
CHEMBL364713	10563
CHEMBL364713	11251
CHEMBL364713	10636
CHEMBL364713	353164
CHEMBL364713	259294
CHEMBL364713	6370
CHEMBL364713	1232
CHEMBL364713	338442
CHEMBL364713	50834
CHEMBL364713	165140
CHEMBL364713	129521
CHEMBL364713	5030
CHEMBL364713	1269
CHEMBL364713	5540
CHEMBL364713	2914
CHEMBL364713	2833
CHEMBL364713	259290
CHEMBL364713	1814
CHEMBL364713	8843
CHEMBL364713	4986
CHEMBL364713	259289
CHEMBL364713	2358
CHEMBL364713	2359
CHEMBL364713	54331
CHEMBL364713	108
CHEMBL364713	2770
CHEMBL364713	2841
CHEMBL364713	2918
CHEMBL364713	11255
CHEMBL364713	6288
CHEMBL364713	5733
CHEMBL364713	6752
CHEMBL364713	10803
CHEMBL364713	2917
CHEMBL364713	1903
CHEMBL364713	6364
CHEMBL364713	1902
CHEMBL364713	5697
CHEMBL364713	728
CHEMBL364713	56477
CHEMBL364713	1235
CHEMBL364713	4889
CHEMBL364713	4987
CHEMBL364713	1813
CHEMBL364713	2920
CHEMBL364713	259296
CHEMBL364713	9290
CHEMBL364713	846
CHEMBL364713	1132
CHEMBL364713	259285
CHEMBL364713	5999
CHEMBL364713	4988
CHEMBL364713	7852
CHEMBL364713	259292
CHEMBL364713	259286
CHEMBL364713	152
CHEMBL364713	9170
CHEMBL364713	346562
CHEMBL364713	6387
CHEMBL364713	2919
CHEMBL364713	111
CHEMBL364713	4283
CHEMBL364713	56670
CHEMBL364713	4886
CHEMBL364713	259287
CHEMBL364713	51083
CHEMBL364713	5443
CHEMBL364713	2840
CHEMBL364713	3576
CHEMBL364713	5179
CHEMBL364713	1237
CHEMBL364713	10316
CHEMBL364713	3627
CHEMBL364713	1901
CHEMBL364713	10663
CHEMBL364713	4543
CHEMBL364713	2357
CHEMBL364713	719
CHEMBL364713	5368
CHEMBL364713	6373
CHEMBL364713	3355
CHEMBL364713	3361
CHEMBL364713	107
